排名,品牌,型号,外观评分
1,荣耀（HONOR）,荣耀Magic6 系列,9.914554445896938
2,小米（MI）,小米Redmi Note13 5G,9.44247384568624
3,vivo,vivoS17 Pro,9.369893425143559
4,小米（MI）,小米Redmi Note12 5G,9.354701761071043
5,荣耀（HONOR）,荣耀X50 GT,9.333881928517288
6,Apple,AppleiPhone15,9.241896538755297
7,Apple,AppleiPhone 15 Pro,9.22855821228853
8,小米（MI）,小米（MI）Redmi K70,9.214548926833341
9,vivo,vivoiQOO 12,9.084996901740949
10,vivo,vivoiQOO 12,9.084996901740949
11,Apple,AppleiPhone 15 Pro Max,9.00103131442315
12,Apple,AppleiPhone 13,8.860750815545371
13,荣耀（HONOR）,荣耀X50,8.775001417102683
14,小米（MI）,小米Redmi K70E,8.672400629958364
15,小米（MI）,小米Redmi Note 12T Pro,8.52939802782695
16,小米（MI）,小米Redmi Turbo3,8.51760243669256
17,Apple,AppleiPhone 15 Pro,8.375356742448481
18,Apple,AppleiPhone 15 Pro Max,8.323149395676337
19,华为（HUAWEI）,华为Mate X5,8.317346813956055
20,三星（SAMSUNG）,三星Galaxy S24+,8.264035988825752
21,vivo,vivoiQOO Neo9,8.255884820044448
22,Apple,AppleiPhone15plus,8.23812702555955
23,Apple,AppleiPhone 15 Pro,8.192253183459673
24,一加,一加Ace 3,8.130099897184666
25,小米（MI）,小米13,8.121360223923771
26,OPPO,OPPOA36,8.082833830198608
27,荣耀（HONOR）,荣耀Play5T,8.034169064680976
28,小米（MI）,小米Redmi Note13 Pro,7.777282314589021
29,vivo,vivoiQOO Neo9,7.74564947865618
30,小米（MI）,小米Redmi K70,7.7320749014871
31,Apple,AppleiPhone 15 Pro,7.710898696326621
32,Apple,AppleiPhone 15 Pro,7.695977329648187
33,荣耀（HONOR）,荣耀100,7.591781545771586
34,荣耀（HONOR）,荣耀100,7.585525344574877
35,vivo,vivoiQOO 12 Pro,7.479464549527391
36,三星（SAMSUNG）,三星Galaxy S23 Ultra,7.218110255501242
37,Apple,AppleiPhone 15 Pro Max,7.003305777308725
38,小米（MI）,小米 14 Ultra,6.987781711435614
39,努比亚（nubia）,努比亚红魔9 Pro,6.787745248746042
40,小米（MI）,小米Civi 3,6.761533244547374
41,OPPO,OPPOK12,6.5950964759669715
42,Apple,AppleiPhone15,6.577679128580388
43,小米（MI）,小米14,6.524837040580027
44,荣耀（HONOR）,荣耀90,6.3428059139939466
45,真我（realme）,真我GT Neo6,6.028396695982465
46,小米（MI）,小米13 Ultra,5.643262173130924
47,ROG,ROG游戏手机8 pro,5.637674050895317
48,小米（MI）,小米14 Pro,5.554879868408515
49,魅族（MEIZU）,魅族20 Classic,5.5172526184628135
50,Apple,AppleiPhone 15 Pro Max,5.513891519324208
