排名,品牌,型号,电池评分
1,Apple,AppleiPhone 15 Pro Max,9.97279450743949
2,小米（MI）,小米（MI）Redmi K70,8.689376991464984
3,真我（realme）,真我GT Neo6,8.173497350537366
4,荣耀（HONOR）,荣耀X50,8.166858189918065
5,小米（MI）,小米Redmi Note12 5G,7.861091650439319
6,OPPO,OPPOA36,7.859398529859467
7,荣耀（HONOR）,荣耀X50 GT,7.2190227544204575
8,Apple,AppleiPhone 13,7.174320428089833
9,Apple,AppleiPhone 15 Pro,7.1514149677320615
10,荣耀（HONOR）,荣耀Play5T,7.143053185196716
11,Apple,AppleiPhone 15 Pro,7.048711403832198
12,vivo,vivoiQOO Neo9,6.967705079558389
13,一加,一加Ace 3,6.766703709051489
14,荣耀（HONOR）,荣耀90,6.752461492291101
15,小米（MI）,小米14 Pro,6.703508514200691
16,vivo,vivoiQOO 12 Pro,6.480533408431347
17,小米（MI）,小米Redmi Turbo3,6.468499797114281
18,小米（MI）,小米Redmi K70,6.45332009675741
19,小米（MI）,小米13,6.414972598584219
20,Apple,AppleiPhone15plus,6.39358876409121
21,vivo,vivoiQOO Neo9,6.36656458700394
22,荣耀（HONOR）,荣耀100,6.291391526402936
23,小米（MI）,小米14,6.208741503434567
24,Apple,AppleiPhone 15 Pro,6.139356846210739
25,三星（SAMSUNG）,三星Galaxy S23 Ultra,6.125938758713264
26,Apple,AppleiPhone 15 Pro,6.104193809370609
27,vivo,vivoS17 Pro,6.098655738834164
28,OPPO,OPPOK12,6.097610737618926
29,荣耀（HONOR）,荣耀100,6.046931349813728
30,努比亚（nubia）,努比亚红魔9 Pro,6.042433350522755
31,荣耀（HONOR）,荣耀Magic6 系列,6.000212228202531
32,Apple,AppleiPhone 15 Pro Max,5.883173245449439
33,Apple,AppleiPhone 15 Pro,5.589052703596293
34,小米（MI）,小米Redmi K70E,5.449025900264672
35,小米（MI）,小米Redmi Note13 Pro,5.381286003300772
36,小米（MI）,小米 14 Ultra,5.308612046879518
37,魅族（MEIZU）,魅族20 Classic,5.243428215682156
38,小米（MI）,小米Redmi Note 12T Pro,5.096419723376353
39,华为（HUAWEI）,华为Mate X5,5.0899229447798815
40,Apple,AppleiPhone 15 Pro Max,5.019461136163764
41,vivo,vivoiQOO 12,4.971707829100176
42,vivo,vivoiQOO 12,4.971707829100176
43,小米（MI）,小米13 Ultra,4.9310509500726925
44,Apple,AppleiPhone 15 Pro Max,4.80594303275454
45,Apple,AppleiPhone15,4.794769063927334
46,三星（SAMSUNG）,三星Galaxy S24+,4.231699861465615
47,小米（MI）,小米Civi 3,4.0756587445110215
48,Apple,AppleiPhone15,3.5663963766408693
49,小米（MI）,小米Redmi Note13 5G,3.2852792433064963
50,ROG,ROG游戏手机8 pro,1.2584317055036176
