排名,品牌,型号,相机评分
1,Apple,AppleiPhone15,9.61178152710582
2,Apple,AppleiPhone 13,9.600682824706007
3,荣耀（HONOR）,荣耀X50,9.469427208459152
4,Apple,AppleiPhone 15 Pro Max,9.360911411900677
5,OPPO,OPPOA36,9.088581030821523
6,华为（HUAWEI）,华为Mate X5,8.901536262946129
7,小米（MI）,小米（MI）Redmi K70,8.792349641588292
8,荣耀（HONOR）,荣耀Play5T,8.771688206748196
9,Apple,AppleiPhone15,8.557154991021436
10,小米（MI）,小米13,8.445405977004578
11,小米（MI）,小米Redmi Note13 5G,8.240520363970118
12,vivo,vivoS17 Pro,8.224918133083444
13,小米（MI）,小米Civi 3,8.175230287539764
14,荣耀（HONOR）,荣耀X50 GT,8.145497079794223
15,vivo,vivoiQOO Neo9,8.138458653341518
16,小米（MI）,小米Redmi Turbo3,8.133272705804332
17,Apple,AppleiPhone 15 Pro,8.128246831618867
18,OPPO,OPPOK12,8.02609090233114
19,荣耀（HONOR）,荣耀100,7.946486781811869
20,小米（MI）,小米Redmi K70E,7.8949338117906285
21,三星（SAMSUNG）,三星Galaxy S24+,7.768644333670356
22,荣耀（HONOR）,荣耀Magic6 系列,7.753060418332266
23,小米（MI）,小米Redmi Note12 5G,7.634888134726077
24,Apple,AppleiPhone 15 Pro,7.589616110721015
25,Apple,AppleiPhone15plus,7.568153840402674
26,荣耀（HONOR）,荣耀90,7.561423122470269
27,小米（MI）,小米Redmi Note 12T Pro,7.498961359387112
28,vivo,vivoiQOO 12 Pro,7.463463941289978
29,Apple,AppleiPhone 15 Pro,7.35112174053875
30,小米（MI）,小米 14 Ultra,7.323109591301612
31,努比亚（nubia）,努比亚红魔9 Pro,7.290801686144306
32,Apple,AppleiPhone 15 Pro Max,6.847487796204762
33,Apple,AppleiPhone 15 Pro,6.764889805769609
34,一加,一加Ace 3,6.75209133342188
35,荣耀（HONOR）,荣耀100,6.751369976580263
36,小米（MI）,小米Redmi K70,6.713953538242188
37,vivo,vivoiQOO 12,6.592893314967976
38,vivo,vivoiQOO 12,6.592893314967976
39,vivo,vivoiQOO Neo9,6.57735486312261
40,小米（MI）,小米13 Ultra,6.530686709007923
41,魅族（MEIZU）,魅族20 Classic,6.498317292051421
42,Apple,AppleiPhone 15 Pro,6.3744643254443245
43,三星（SAMSUNG）,三星Galaxy S23 Ultra,6.326790786408056
44,真我（realme）,真我GT Neo6,6.268724891207814
45,Apple,AppleiPhone 15 Pro Max,6.237926983583472
46,小米（MI）,小米14,6.058632991858076
47,小米（MI）,小米14 Pro,5.9216798890089235
48,Apple,AppleiPhone 15 Pro Max,5.907688993107744
49,ROG,ROG游戏手机8 pro,5.708757124579573
50,小米（MI）,小米Redmi Note13 Pro,5.53473748213533
