排名,品牌,型号,性能评分
1,Apple,AppleiPhone15,9.45598815670633
2,Apple,AppleiPhone 15 Pro Max,8.646728493211734
3,小米（MI）,小米（MI）Redmi K70,8.584519164628619
4,Apple,AppleiPhone 15 Pro,8.048633823766902
5,小米（MI）,小米13,7.831338811991738
6,Apple,AppleiPhone 15 Pro Max,7.618564981701882
7,荣耀（HONOR）,荣耀X50 GT,7.605603948788465
8,vivo,vivoiQOO Neo9,7.456745051582354
9,vivo,vivoiQOO 12 Pro,7.440136856948475
10,小米（MI）,小米 14 Ultra,7.358224939211228
11,Apple,AppleiPhone 15 Pro Max,7.10010760551374
12,一加,一加Ace 3,7.095844655944902
13,荣耀（HONOR）,荣耀90,7.072494554652598
14,Apple,AppleiPhone 13,7.030902929689864
15,Apple,AppleiPhone 15 Pro,7.022988059345086
16,vivo,vivoiQOO 12,6.950350212971433
17,vivo,vivoiQOO 12,6.950350212971433
18,小米（MI）,小米Redmi Note13 Pro,6.896373410573314
19,小米（MI）,小米Redmi K70,6.821734413980768
20,真我（realme）,真我GT Neo6,6.764893140240999
21,荣耀（HONOR）,荣耀Magic6 系列,6.688506496351121
22,vivo,vivoS17 Pro,6.622409237643649
23,华为（HUAWEI）,华为Mate X5,6.530288863585523
24,努比亚（nubia）,努比亚红魔9 Pro,6.525533212719036
25,OPPO,OPPOA36,6.501894646078735
26,三星（SAMSUNG）,三星Galaxy S23 Ultra,6.424829844838965
27,荣耀（HONOR）,荣耀Play5T,6.32922435069725
28,OPPO,OPPOK12,6.322610985139291
29,小米（MI）,小米Redmi K70E,6.245704947947568
30,荣耀（HONOR）,荣耀100,6.184890629498228
31,Apple,AppleiPhone 15 Pro,6.138988017238533
32,vivo,vivoiQOO Neo9,6.094911665732498
33,Apple,AppleiPhone15,6.092603643312845
34,Apple,AppleiPhone 15 Pro,6.028287697495435
35,小米（MI）,小米Redmi Turbo3,6.015420356683095
36,Apple,AppleiPhone 15 Pro,5.999918298162996
37,小米（MI）,小米13 Ultra,5.964784563832003
38,小米（MI）,小米14,5.9064299657195605
39,三星（SAMSUNG）,三星Galaxy S24+,5.8463502193165455
40,荣耀（HONOR）,荣耀100,5.792467070112534
41,小米（MI）,小米Redmi Note12 5G,5.751928237059586
42,小米（MI）,小米Redmi Note 12T Pro,5.7440812135994594
43,ROG,ROG游戏手机8 pro,5.743334895215123
44,Apple,AppleiPhone15plus,5.676350691263206
45,荣耀（HONOR）,荣耀X50,5.59698136944421
46,小米（MI）,小米Redmi Note13 5G,5.550838327493498
47,小米（MI）,小米14 Pro,5.403968539435603
48,魅族（MEIZU）,魅族20 Classic,5.147938161031323
49,小米（MI）,小米Civi 3,5.024311986395907
50,Apple,AppleiPhone 15 Pro Max,4.536130430097443
