排名,品牌,型号,性价比评分
1,Apple,AppleiPhone15,8.271371443168732
2,vivo,vivoS17 Pro,7.886716173876321
3,Apple,AppleiPhone 15 Pro Max,7.310301378743119
4,小米（MI）,小米（MI）Redmi K70,7.069484749248105
5,小米（MI）,小米13,7.030819943263813
6,小米（MI）,小米Redmi Note13 5G,6.964853690686513
7,小米（MI）,小米Redmi Note 12T Pro,6.952556533258639
8,荣耀（HONOR）,荣耀Play5T,6.4191433489910015
9,魅族（MEIZU）,魅族20 Classic,6.252071029414727
10,小米（MI）,小米Redmi K70E,6.216684185646663
11,小米（MI）,小米Civi 3,6.021973312714419
12,荣耀（HONOR）,荣耀90,5.886145248411419
13,Apple,AppleiPhone 15 Pro,5.879250500333189
14,荣耀（HONOR）,荣耀X50,5.8707328928506755
15,vivo,vivoiQOO 12 Pro,5.813452650401197
16,小米（MI）,小米14,5.779861754136645
17,小米（MI）,小米Redmi Note12 5G,5.650487926948603
18,小米（MI）,小米Redmi K70,5.601626035759625
19,小米（MI）,小米 14 Ultra,5.535166403684388
20,OPPO,OPPOA36,5.459537360361577
21,小米（MI）,小米Redmi Turbo3,5.433956494997629
22,小米（MI）,小米Redmi Note13 Pro,5.431537716634292
23,荣耀（HONOR）,荣耀100,5.286502748288338
24,一加,一加Ace 3,5.277147592290349
25,Apple,AppleiPhone15plus,5.120159340675542
26,vivo,vivoiQOO Neo9,5.0906025453689265
27,小米（MI）,小米13 Ultra,4.992562979944917
28,Apple,AppleiPhone 13,4.985372282236816
29,荣耀（HONOR）,荣耀100,4.859469751649744
30,三星（SAMSUNG）,三星Galaxy S24+,4.820694422329349
31,vivo,vivoiQOO Neo9,4.819445122729508
32,华为（HUAWEI）,华为Mate X5,4.789305945606346
33,Apple,AppleiPhone15,4.769212502955064
34,努比亚（nubia）,努比亚红魔9 Pro,4.757349915714286
35,Apple,AppleiPhone 15 Pro Max,4.6438906288590225
36,Apple,AppleiPhone 15 Pro,4.5334281037198005
37,Apple,AppleiPhone 15 Pro Max,4.445826356884305
38,ROG,ROG游戏手机8 pro,4.306566942572855
39,荣耀（HONOR）,荣耀X50 GT,4.193051650965216
40,真我（realme）,真我GT Neo6,4.048218935291047
41,Apple,AppleiPhone 15 Pro Max,3.997205246351634
42,Apple,AppleiPhone 15 Pro,3.984845246205298
43,三星（SAMSUNG）,三星Galaxy S23 Ultra,3.5947277850039256
44,Apple,AppleiPhone 15 Pro,3.5456828739670847
45,Apple,AppleiPhone 15 Pro,3.391385832558726
46,OPPO,OPPOK12,3.1840254989026113
47,vivo,vivoiQOO 12,3.1264910545606326
48,vivo,vivoiQOO 12,3.1264910545606326
49,荣耀（HONOR）,荣耀Magic6 系列,3.0464751732794566
50,小米（MI）,小米14 Pro,2.4547389730614966
