排名,品牌,型号,商家服务评分
1,vivo,vivoS17 Pro,7.385964922986914
2,荣耀（HONOR）,荣耀100,6.966050952200244
3,小米（MI）,小米Redmi Note13 Pro,6.670542284322995
4,荣耀（HONOR）,荣耀90,6.620281642460479
5,小米（MI）,小米Redmi Note 12T Pro,6.519851057251929
6,Apple,AppleiPhone15,6.277715821566526
7,小米（MI）,小米Redmi Turbo3,5.970073750010982
8,小米（MI）,小米（MI）Redmi K70,5.953306369392335
9,vivo,vivoiQOO 12 Pro,5.805420936814624
10,Apple,AppleiPhone 15 Pro,5.796752378897265
11,Apple,AppleiPhone 15 Pro,5.786310847253775
12,小米（MI）,小米14,5.751220825768115
13,vivo,vivoiQOO Neo9,5.569571469321977
14,小米（MI）,小米Redmi K70,5.460719722610176
15,小米（MI）,小米Redmi Note13 5G,5.405918875230635
16,小米（MI）,小米13,5.335654082926121
17,Apple,AppleiPhone 13,5.272790846581132
18,Apple,AppleiPhone 15 Pro Max,5.140578029770456
19,OPPO,OPPOA36,5.0659748681550045
20,荣耀（HONOR）,荣耀Play5T,5.003107975246703
21,vivo,vivoiQOO 12,4.768554673834106
22,vivo,vivoiQOO 12,4.768554673834106
23,小米（MI）,小米Civi 3,4.75366487661237
24,努比亚（nubia）,努比亚红魔9 Pro,4.544102917333191
25,Apple,AppleiPhone15,4.511597318989361
26,小米（MI）,小米 14 Ultra,4.406278836291957
27,vivo,vivoiQOO Neo9,4.213298024211125
28,魅族（MEIZU）,魅族20 Classic,4.206896627396619
29,Apple,AppleiPhone 15 Pro Max,4.049086444769968
30,一加,一加Ace 3,3.9955830019184226
31,Apple,AppleiPhone 15 Pro Max,3.9896036627858207
32,小米（MI）,小米Redmi K70E,3.9755779317210083
33,荣耀（HONOR）,荣耀X50 GT,3.917351076156912
34,荣耀（HONOR）,荣耀X50,3.9065051077615536
35,小米（MI）,小米Redmi Note12 5G,3.872893230661286
36,Apple,AppleiPhone15plus,3.8692303282820917
37,Apple,AppleiPhone 15 Pro,3.613764775493552
38,ROG,ROG游戏手机8 pro,3.597103719348806
39,Apple,AppleiPhone 15 Pro,3.547195757900748
40,Apple,AppleiPhone 15 Pro Max,3.379801257154794
41,华为（HUAWEI）,华为Mate X5,3.213336960042381
42,小米（MI）,小米13 Ultra,3.2106431297333313
43,三星（SAMSUNG）,三星Galaxy S24+,3.006815076595046
44,Apple,AppleiPhone 15 Pro,2.990460633037414
45,荣耀（HONOR）,荣耀Magic6 系列,2.8269651749196507
46,真我（realme）,真我GT Neo6,2.416670347536178
47,小米（MI）,小米14 Pro,2.374873404081183
48,OPPO,OPPOK12,2.1166307314694435
49,荣耀（HONOR）,荣耀100,1.8118061480903893
50,三星（SAMSUNG）,三星Galaxy S23 Ultra,1.6047432290375112
